Driver Name,Fantasy Points,Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,36,2,2,0,1
Max Verstappen,49,1,1,1,1
Valtteri Bottas,22,3,4,0,0
Sergio Perez,38,4,3,0,0
Daniel Ricciardo,21,10,6,0,0
Charles Leclerc,-2,7,16,0,0
Sebastian Vettel,16,12,9,0,1
Fernando Alonso,17,9,8,0,1
Carlos Sainz,10,5,11,0,1
Lance Stroll,7,NC,10,0,0
Lando Norris,28,8,5,0,1
Piere Gasly,18,6,7,0,1
Esteban Ocon,0,11,14,0,0
Kimi Raikkonen,2,17,17,0,0
Yuki Tsunoda,6,NC,13,0,0
Antonio Giovinazzi,6,13,15,0,1
Nicholas Latifi,0,16,18,0,0
George Russell,12,14,12,0,1
Mick Schumacher,4,15,19,0,1
Nikita Mazepin,0,18,20,0,0
